date,source,position,tour,provider
2026-08-06,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-06,guruwalk,2,Essential Paris City Center Tour,StellarTours
2026-08-06,guruwalk,3,The Majestic Latin Quarter Tour,StellarTours
2026-08-07,freetour,1,"Scandals, Gossips & Histoire: Tales at Père Lachaise Cemetery FreeTour",Princeformatif Tours
2026-08-07,freetour,2,Essential Paris City Center Tour,StellarTours
2026-08-07,freetour,3,The Original Free Tour of Paris,SANDEMANs Tours - Paris
2026-08-07,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-07,guruwalk,2,Essential Paris City Center Tour,StellarTours
2026-08-07,guruwalk,3,"Le Marais without the crowds, the beating heart of Paris",Charing Cross Tours
2026-08-08,freetour,1,"Scandals, Gossips & Histoire: Tales at Père Lachaise Cemetery FreeTour",Princeformatif Tours
2026-08-08,freetour,2,Essential Paris City Center Tour,StellarTours
2026-08-08,freetour,3,The Original Free Tour of Paris,SANDEMANs Tours - Paris
2026-08-08,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-08,guruwalk,2,Essential Paris City Center Tour,StellarTours
2026-08-08,guruwalk,3,"Le Marais without the crowds, the beating heart of Paris",Charing Cross Tours
2026-08-09,freetour,1,"Scandals, Gossips & Histoire: Tales at Père Lachaise Cemetery FreeTour",Princeformatif Tours
2026-08-09,freetour,2,Essential Paris City Center Tour,StellarTours
2026-08-09,freetour,3,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-08-09,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-09,guruwalk,2,Essential Paris City Center Tour,StellarTours
2026-08-09,guruwalk,3,The Majestic Latin Quarter Tour,StellarTours
2026-08-10,freetour,1,"Scandals, Gossips & Histoire: Tales at Père Lachaise Cemetery FreeTour",Princeformatif Tours
2026-08-10,freetour,2,The Original Free Tour of Paris,SANDEMANs Tours - Paris
2026-08-10,freetour,3,Essential Paris City Center Tour,StellarTours
2026-08-10,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-10,guruwalk,2,Essential Paris City Center Tour,StellarTours
2026-08-10,guruwalk,3,The Majestic Latin Quarter Tour,StellarTours
2026-08-11,freetour,1,Essential Paris City Center Tour,StellarTours
2026-08-11,freetour,2,The Original Free Tour of Paris,SANDEMANs Tours - Paris
2026-08-11,freetour,3,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-08-11,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-11,guruwalk,2,Essential Paris City Center Tour,StellarTours
2026-08-11,guruwalk,3,The Majestic Latin Quarter Tour,StellarTours
2026-08-12,freetour,1,The Original Free Tour of Paris,SANDEMANs Tours - Paris
2026-08-12,freetour,2,Essential Paris City Center Tour,StellarTours
2026-08-12,freetour,3,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-08-12,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-08-12,guruwalk,2,The Majestic Latin Quarter Tour,StellarTours
2026-08-12,guruwalk,3,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-13,freetour,1,Essential Paris City Center Tour,StellarTours
2026-08-13,freetour,2,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-08-13,freetour,3,The Original Free Tour of Paris,SANDEMANs Tours - Paris
2026-08-13,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-08-13,guruwalk,2,The Majestic Latin Quarter Tour,StellarTours
2026-08-13,guruwalk,3,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-14,freetour,1,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-08-14,freetour,2,The Original Free Tour of Paris,SANDEMANs Tours - Paris
2026-08-14,freetour,3,Paris Time Machine : Hidden Gems of the City Free Tour,Quentin & Co Tours
2026-08-14,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-08-14,guruwalk,2,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-14,guruwalk,3,The Majestic Latin Quarter Tour,StellarTours
2026-08-15,freetour,1,Essential Paris City Center Tour,StellarTours
2026-08-15,freetour,2,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-08-15,freetour,3,The Original Free Tour of Paris,SANDEMANs Tours - Paris
2026-08-15,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-15,guruwalk,2,Essential Paris City Center Tour,StellarTours
2026-08-15,guruwalk,3,Paris Time Machine: The Hidden Gems of the City,Quentin & Co Walking Tours
2026-08-16,freetour,1,Essential Paris City Center Tour,StellarTours
2026-08-16,freetour,2,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-08-16,freetour,3,The Original Free Tour of Paris,SANDEMANs Tours - Paris
2026-08-16,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-16,guruwalk,2,Essential Paris City Center Tour,StellarTours
2026-08-16,guruwalk,3,Paris during the French Revolution - Free Tour of Latin Quarter & St Germain,Julien
2026-08-17,freetour,1,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-08-17,freetour,2,"Scandals, Gossips & Histoire: Tales at Père Lachaise Cemetery FreeTour",Princeformatif Tours
2026-08-17,freetour,3,Essential Paris City Center Tour,StellarTours
2026-08-17,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-17,guruwalk,2,Essential Paris City Center Tour,StellarTours
2026-08-17,guruwalk,3,Historic Paris Walking Tour by Walkative!,Walkative! Tours
2026-08-18,freetour,1,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-08-18,freetour,2,Paris Center Free Tour: History & Art from Pont Neuf to the Tuileries,Kateryna
2026-08-18,freetour,3,Essential Paris City Center Tour,StellarTours
2026-08-18,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-18,guruwalk,2,Essential Paris City Center Tour,StellarTours
2026-08-18,guruwalk,3,The Majestic Latin Quarter Tour,StellarTours
2026-08-20,freetour,1,"Scandals, Gossips & Histoire: Tales at Père Lachaise Cemetery FreeTour",Princeformatif Tours
2026-08-20,freetour,2,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-08-20,freetour,3,Paris Center Free Tour: History & Art from Pont Neuf to the Tuileries,Kateryna
2026-08-20,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-20,guruwalk,2,Essential Paris City Center Tour,StellarTours
2026-08-20,guruwalk,3,Paris Time Machine: The Hidden Gems of the City,Quentin & Co Walking Tours
2026-08-21,freetour,1,"Scandals, Gossips & Histoire: Tales at Père Lachaise Cemetery FreeTour",Princeformatif Tours
2026-08-21,freetour,2,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-08-21,freetour,3,Paris Center Free Tour: History & Art from Pont Neuf to the Tuileries,Kateryna
2026-08-21,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-08-21,guruwalk,2,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-21,guruwalk,3,Montmartre Walking Tour by Walkative!,Walkative! Tours
2026-08-22,freetour,1,Paris Center Free Tour: History & Art from Pont Neuf to the Tuileries,Kateryna
2026-08-22,freetour,2,Essential Paris City Center Tour,StellarTours
2026-08-22,freetour,3,The Original Free Tour of Paris,SANDEMANs Tours - Paris
2026-08-22,guruwalk,1,The Majestic Latin Quarter Tour,StellarTours
2026-08-22,guruwalk,2,Essential Paris City Center Tour,StellarTours
2026-08-22,guruwalk,3,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-23,freetour,1,Paris Center Free Tour: History & Art from Pont Neuf to the Tuileries,Kateryna
2026-08-23,freetour,2,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-08-23,freetour,3,Essential Paris City Center Tour,StellarTours
2026-08-23,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-08-23,guruwalk,2,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-23,guruwalk,3,The Majestic Latin Quarter Tour,StellarTours
2026-08-24,freetour,1,Paris Center Free Tour: History & Art from Pont Neuf to the Tuileries,Kateryna
2026-08-24,freetour,2,Essential Paris City Center Tour,StellarTours
2026-08-24,freetour,3,Paris Time Machine : Hidden Gems of the City Free Tour,Quentin & Co Tours
2026-08-24,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-24,guruwalk,2,Essential Paris City Center Tour,StellarTours
2026-08-24,guruwalk,3,Montmartre Walking Tour by Walkative!,Walkative! Tours
2026-08-25,freetour,1,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-08-25,freetour,2,Paris Center Free Tour: History & Art from Pont Neuf to the Tuileries,Kateryna
2026-08-25,freetour,3,Essential Paris City Center Tour,StellarTours
2026-08-25,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-25,guruwalk,2,Essential Paris City Center Tour,StellarTours
2026-08-25,guruwalk,3,"Iconic tour of the old Paris, Saint-Germain and Saint-Michel Area",Morgan
2026-08-26,freetour,1,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-08-26,freetour,2,Paris Center Free Tour: History & Art from Pont Neuf to the Tuileries,Kateryna
2026-08-26,freetour,3,Essential Paris City Center Tour,StellarTours
2026-08-26,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-08-26,guruwalk,2,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-26,guruwalk,3,"Iconic tour of the old Paris, Saint-Germain and Saint-Michel Area",Morgan
2026-08-27,freetour,1,"Scandals, Gossips & Histoire: Tales at Père Lachaise Cemetery FreeTour",Princeformatif Tours
2026-08-27,freetour,2,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-08-27,freetour,3,Essential Paris City Center Tour,StellarTours
2026-08-27,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-27,guruwalk,2,Essential Paris City Center Tour,StellarTours
2026-08-27,guruwalk,3,Paris Time Machine: The Hidden Gems of the City,Quentin & Co Walking Tours
2026-08-28,freetour,1,"Scandals, Gossips & Histoire: Tales at Père Lachaise Cemetery FreeTour",Princeformatif Tours
2026-08-28,freetour,2,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-08-28,freetour,3,Paris Time Machine : Hidden Gems of the City Free Tour,Quentin & Co Tours
2026-08-28,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-28,guruwalk,2,Paris Time Machine: The Hidden Gems of the City,Quentin & Co Walking Tours
2026-08-28,guruwalk,3,Essential Paris City Center Tour,StellarTours
2026-08-29,freetour,1,"Scandals, Gossips & Histoire: Tales at Père Lachaise Cemetery FreeTour",Princeformatif Tours
2026-08-29,freetour,2,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-08-29,freetour,3,Paris Time Machine : Hidden Gems of the City Free Tour,Quentin & Co Tours
2026-08-29,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-29,guruwalk,2,Paris Time Machine: The Hidden Gems of the City,Quentin & Co Walking Tours
2026-08-29,guruwalk,3,Essential Paris City Center Tour,StellarTours
2026-08-30,freetour,1,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-08-30,freetour,2,Paris Time Machine : Hidden Gems of the City Free Tour,Quentin & Co Tours
2026-08-30,freetour,3,Essential Paris City Center Tour,StellarTours
2026-08-30,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-30,guruwalk,2,Paris Time Machine: The Hidden Gems of the City,Quentin & Co Walking Tours
2026-08-30,guruwalk,3,Essential Paris City Center Tour,StellarTours
2026-08-31,freetour,1,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-08-31,freetour,2,Paris Center Free Tour: History & Art from Pont Neuf to the Tuileries,Kateryna
2026-08-31,freetour,3,Essential Paris City Center Tour,StellarTours
2026-08-31,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-08-31,guruwalk,2,Paris Time Machine: The Hidden Gems of the City,Quentin & Co Walking Tours
2026-08-31,guruwalk,3,Essential Paris City Center Tour,StellarTours
2026-09-01,freetour,1,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-09-01,freetour,2,Paris Center Free Tour: History & Art from Pont Neuf to the Tuileries,Kateryna
2026-09-01,freetour,3,Essential Paris City Center Tour,StellarTours
2026-09-01,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-09-01,guruwalk,2,Essential Paris City Center Tour,StellarTours
2026-09-01,guruwalk,3,Paris Time Machine: The Hidden Gems of the City,Quentin & Co Walking Tours
2026-09-02,freetour,1,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-09-02,freetour,2,Paris Center Free Tour: History & Art from Pont Neuf to the Tuileries,Kateryna
2026-09-02,freetour,3,Paris Time Machine : Hidden Gems of the City Free Tour,Quentin & Co Tours
2026-09-02,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-09-02,guruwalk,2,Essential Paris City Center Tour,StellarTours
2026-09-02,guruwalk,3,Montmartre: A Journey through the Art and History of Bohemian Paris,Vive latino tours
2026-09-03,freetour,1,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-09-03,freetour,2,Paris Center Free Tour: History & Art from Pont Neuf to the Tuileries,Kateryna
2026-09-03,freetour,3,Paris Time Machine : Hidden Gems of the City Free Tour,Quentin & Co Tours
2026-09-03,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-09-03,guruwalk,2,Essential Paris City Center Tour,StellarTours
2026-09-03,guruwalk,3,Paris Time Machine: The Hidden Gems of the City,Quentin & Co Walking Tours
